Date,Time,TZ Offset,RMS Volts A 1 ,RMS Volts B 1 ,RMS Volts C 1 ,RMS Amps A 1 ,RMS Amps B 1 ,RMS Amps C 1 ,RMS Watts Total 1 ,RMS VARs Total 1 ,System Frequency 
2018-03-23,07:15:56.642000,0,14667.579,14672.889,14676.870,6.78,6.76,6.70,125491.26,-64133.88,60.017
2018-03-23,07:16:56.655000,0,14632.858,14634.619,14642.404,6.86,6.81,6.85,125335.63,-61951.33,59.967
2018-03-23,07:17:56.657000,0,14645.146,14649.519,14656.870,7.10,7.05,7.04,132579.12,-64753.93,60.000
2018-03-23,07:18:56.665000,0,14662.883,14666.451,14673.569,6.43,6.45,6.38,115817.54,-62252.40,60.013
2018-03-23,07:19:56.678000,0,14642.823,14643.645,14651.133,7.94,7.94,7.96,138406.62,-66726.16,60.012
2018-03-23,07:20:56.688000,0,14676.298,14678.697,14685.532,7.65,7.64,7.70,133200.20,-65937.81,60.033
2018-03-23,07:21:56.691000,0,14669.271,14669.304,14679.136,7.69,7.66,7.71,130727.14,-66111.81,60.032
2018-03-23,07:22:56.701000,0,14679.046,14684.686,14690.711,7.67,7.70,7.70,127102.46,-65025.90,60.013
2018-03-23,07:23:56.704000,0,14657.732,14661.065,14670.122,7.48,7.32,7.40,121921.62,-63560.08,60.019
2018-03-23,07:24:56.708000,0,14648.135,14650.194,14659.170,7.39,7.29,7.24,120657.66,-62204.55,60.005
2018-03-23,07:25:56.723000,0,14654.543,14659.382,14667.852,7.35,7.34,7.33,126544.15,-64025.76,60.020
2018-03-23,07:26:56.738000,0,14616.701,14620.062,14625.922,6.84,6.88,6.86,122670.09,-63801.70,60.017
2018-03-23,07:27:56.750000,0,14614.470,14615.762,14624.188,6.58,6.51,6.54,108813.66,-61134.76,60.013
2018-03-23,07:28:56.759000,0,14661.563,14664.387,14672.529,7.20,7.19,7.23,133698.86,-65090.55,60.037
2018-03-23,07:29:56.770000,0,14626.357,14628.367,14637.696,6.55,6.61,6.63,119469.28,-62828.94,60.010
2018-03-23,07:30:56.774000,0,14667.420,14669.612,14676.339,6.82,6.76,6.78,125167.84,-64232.06,60.034
2018-03-23,07:31:56.778000,0,14632.711,14634.815,14641.658,7.66,7.59,7.65,139143.56,-65640.37,60.032
2018-03-23,07:32:56.792000,0,14639.872,14643.838,14651.880,7.70,7.67,7.68,138680.12,-66939.67,60.012
2018-03-23,07:33:56.795000,0,14628.137,14633.060,14640.762,6.68,6.71,6.71,121897.95,-63214.74,59.993
2018-03-23,07:34:56.806000,0,14634.243,14639.472,14645.523,7.99,7.88,7.87,139907.31,-66597.41,60.010
2018-03-23,07:35:56.816000,0,14654.308,14656.479,14663.478,7.61,7.55,7.48,137044.97,-66199.12,60.017
2018-03-23,07:36:56.816000,0,14600.729,14610.428,14615.883,7.25,7.14,7.13,131065.55,-64138.15,60.013
2018-03-23,07:37:56.830000,0,14650.013,14652.506,14657.773,7.37,7.26,7.24,126106.19,-65014.68,60.015
2018-03-23,07:38:56.835000,0,14625.895,14629.200,14636.648,7.98,7.97,7.98,135676.88,-66032.09,60.013
2018-03-23,07:39:56.838000,0,14625.706,14626.673,14634.105,7.68,7.62,7.61,131764.39,-64342.49,60.016
2018-03-23,07:40:56.845000,0,14635.344,14640.414,14645.596,7.45,7.32,7.38,123120.85,-62989.77,60.020
2018-03-23,07:41:56.855000,0,14636.209,14640.551,14647.271,7.48,7.47,7.45,123349.60,-63479.97,60.027
2018-03-23,07:42:56.868000,0,14660.557,14665.946,14670.972,7.49,7.50,7.51,127227.34,-62843.44,59.990
2018-03-23,07:43:56.872000,0,14646.197,14649.658,14656.783,6.76,6.77,6.78,111689.68,-62044.30,59.996
2018-03-23,07:44:56.879000,0,14585.862,14590.880,14599.433,6.96,6.89,6.90,124794.55,-63427.84,60.015
2018-03-23,07:45:56.892000,0,14568.058,14570.642,14577.367,7.19,7.10,7.10,131735.52,-65108.06,60.005
2018-03-23,07:46:56.898000,0,14627.240,14633.511,14639.164,6.95,6.86,6.95,123851.80,-62867.26,59.983
2018-03-23,07:47:56.905000,0,14619.574,14624.763,14629.457,7.41,7.26,7.27,135597.98,-65613.18,59.991
2018-03-23,07:48:56.919000,0,14615.281,14618.156,14624.413,6.74,6.71,6.69,123864.70,-63970.40,59.992
2018-03-23,07:49:56.929000,0,14658.470,14660.580,14668.138,7.10,6.99,6.97,129299.06,-64584.31,60.006
2018-03-23,07:50:56.928000,0,14600.781,14603.736,14611.407,7.32,7.30,7.26,132486.95,-65622.41,59.991
2018-03-23,07:51:56.938000,0,14660.833,14662.350,14669.455,7.54,7.53,7.44,137105.73,-67245.86,59.993
2018-03-23,07:52:56.946000,0,14646.733,14651.681,14657.955,6.76,6.65,6.56,120050.09,-63253.46,60.002
2018-03-23,07:53:56.950000,0,14604.555,14609.162,14614.281,7.57,7.61,7.51,136997.59,-65103.46,60.022
2018-03-23,07:54:56.954000,0,14641.045,14644.771,14652.595,7.18,7.22,7.27,133749.12,-64931.53,60.001
2018-03-23,07:55:56.953000,0,14651.605,14655.135,14662.777,6.91,6.80,6.87,127614.80,-64578.69,60.018
2018-03-23,07:56:56.964000,0,14633.636,14637.778,14643.803,6.51,6.58,6.48,118227.21,-63360.41,60.025
2018-03-23,07:57:56.968000,0,14648.357,14651.851,14658.030,7.38,7.36,7.35,136650.11,-65348.60,60.035
2018-03-23,07:58:56.981000,0,14657.859,14663.034,14668.219,6.65,6.60,6.55,120483.60,-64264.24,60.040
2018-03-23,07:59:56.980000,0,14645.582,14647.952,14656.115,6.98,6.97,6.92,124995.80,-64309.36,60.038
